id,compendium_no,compendium_no_dlc_2,compendium_no_master_mode,compendium_no_master_mode_dlc_2,name,creature_type,recoverable_materials,description
1,1,1,1,1,Horse,mammal,,"These can be most often be found on plains. Their usefulness as transportation has made them valuable since ancient times. That said, wild horses do tend to get spooked and run off when approached, so if you're looking to snag one, it's best to sneak up on it."
2,2,2,2,2,Giant Horse,mammal,,"This giant horse is the last of its kind. Its physical capabilities completely overshadow those of regular horses, but its temperament is extremely wild. Only a truly skilled rider can train, or even catch, this beast of a mount."
3,3,3,3,3,White Horse,mammal,,The Hyrulean royal family that perished 100 years ago would sometimes ride atop white horses as a display of their divine right. This white horse may be a descendant of one once ridden by royalty.
4,4,4,4,4,Lord of the Mountain,mammal,,"This noble creature watches over all animals that make their homes in the forest. Legends say this holy creature is a reincarnation of a sage that died on the lands it now protects. It has an acute awareness of its surroundings, so it seldom appears before people. It's sometimes known by its other name, Satori."
5,5,5,5,5,Stalhorse,mammal,,"This skeletal horse is ridden by monsters. It was once a regular horse, but Ganon's power revived it from death. It cannot maintain its bone structure in the daytime."
6,6,6,6,6,Donkey,mammal,,"Smaller than horses, these are raised as livestock in the countryside, so they don't exist in the wild. They're more powerful than they look and specialize in transporting baggage. This has made them popular with traveling merchants."
7,7,7,7,7,Sand Seal,mammal,,"These seals use their large flippers to move through the sand as if swimming. They were once wild animals but have since been domesticated by the Gerudo. They rely on their excellent hearing to find their way while submerged in the sand. Their large, distinct tusks look pretty ferocious, but their favorite food is actually fruit."
8,8,8,8,8,Patricia,mammal,,"This is Riju's own sand seal. It may look intense, but she dotes on it regularly; the ribbon it wears was a gift from her, and it even has its own pen in Gerudo Town. It's far more agile than any other sand seal and far more outgoing. An ever-reliable partner to Riju, Patricia is always ready to take off through the desert at a moment's notice."
9,9,9,9,9,Bushy-Tailed Squirrel,mammal,{72},These small creatures are known for their large tails. They tend to live in forests and subsist on acorns and other nuts. They carry food in their mouths but will sometimes drop it when surprised in an adorable display of shock.
10,10,10,10,10,Woodland Boar,mammal,{127},"These medium-sized beasts can be found all throughout Hyrule. You can most often find them foraging for food in forests or meadows. Although usually docile, they won't hesitate to charge you full force if you get too close."
11,11,11,11,11,Red-Tusked Boar,mammal,{128},These boars are known for their red tusks and black fur. They're similar to your average boars but are considerably stronger. Extra caution is advised when hunting these.
12,12,12,12,12,Mountain Goat,mammal,{127},"These herbivores make their home in meadows and rocky areas. Their characteristically strong legs and hooves facilitate easy climbing over rocks. Goats aren't very quick, so they make good targets for beginning hunters."
13,13,13,13,13,White Goat,mammal,,"These goats are raised for their multiple uses. Their milk can be drank or made into butter, and their soft fur is used to make clothes. Domesticated goats wear bells around their necks so they can easily be found after being let out to graze."
14,14,14,14,14,Mountain Buck,mammal,{128},"These male deer are usually found deep in the forest. They're well known for their huge, branching antlers, which they'll swing in self-defense if threatened. Deer are cautious by nature so it can be tricky getting close, but if you can capture one, you may be able to take if for a ride."
15,15,15,15,15,Mountain Doe,mammal,{128},"These female deer are often found alongside a male. They're very timid animals by nature, but they tend to let their guard down when eating apples, a favorite food. This tidbit of information can be useful to hunters."
16,16,16,16,16,Water Buffalo,mammal,"{126,128}","These wild cows come equipped with big, strong horns. They live off grass that grows near the waterfront. Their meat is considered to be high quality, so they're a common target among hunters. Fun fact: the domesticated Hateno cow, often raised in villages, was bred through selective breeding using these."
